date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:51	5302/5302	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:39:38%20GMT	https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html	(from )
16:17:52	254/254	---M--	404	error ('Not%20Found')	application/xml	date:Fri,%2008%20Oct%202021%2023:17:53%20GMT	https://webstatic-sea.mihoyo.com/robots.txt		(from )
16:17:52	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Oct%202021%2023:17:53%20GMT	http://www.w3.org/1999/xhtml	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/www.w3.org/1999/xhtml.1.delayed	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:52	310740/310740	---M--	200	added ('OK')	image/png	etag:%22D2EEDD86177B641984B3E3C8435ED8F9%22	https://webstatic-sea.mihoyo.com/upload/static-resource/2021/01/26/d2eedd86177b641984b3e3c8435ed8f9_6983180864625434706.png	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic-sea.mihoyo.com/upload/static-resource/2021/01/26/d2eedd86177b641984b3e3c8435ed8f9_6983180864625434706.png	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:53	2725/2725	---M-Z	200	added ('OK')	text/html	etag:%22aa5-53beb90aa8180;eb-4d3672e1409c0-gzip%22	https://www.w3.org/1999/xhtml/	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/www.w3.org/1999/xhtml/index.html	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:53	5172/5172	---M-Z	200	added ('OK')	image/x-icon	etag:W/%221434-17bba853428%22	https://genshin.mihoyo.com/favicon.ico	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/genshin.mihoyo.com/favicon.ico	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:53	112406/112406	---MCZ	200	added ('OK')	text/css	date:Tue,%2013%20Apr%202021%2007:39:43%20GMT	https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/styles.c74d9fb6b5a645d88cd1.css	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic-sea.mihoyo.com/ys/event/e20210128warmup/styles.c74d9fb6b5a645d88cd1.css	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:54	78365/78365	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2028%20Sep%202021%2010:28:46%20GMT	https://webstatic.mihoyo.com/dora/lib/vconsole/3.2.0/vconsole.min.js	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic.mihoyo.com/dora/lib/vconsole/3.2.0/vconsole.min.js	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:54	93670/93670	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2028%20Sep%202021%2010:32:01%20GMT	https://webstatic-sea.mihoyo.com/dora/lib/vue/2.6.11/vue.min.js	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic-sea.mihoyo.com/dora/lib/vue/2.6.11/vue.min.js	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:55	55716/55716	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2028%20Sep%202021%2010:31:55%20GMT	https://webstatic-sea.mihoyo.com/dora/lib/sentry/5.10.2/sentry.min.js	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic-sea.mihoyo.com/dora/lib/sentry/5.10.2/sentry.min.js	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:55	3424/3424	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2028%20Sep%202021%2010:31:55%20GMT	https://webstatic-sea.mihoyo.com/dora/lib/sentry/5.10.2/sentry-vue.min.js	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic-sea.mihoyo.com/dora/lib/sentry/5.10.2/sentry-vue.min.js	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:56	76623/76623	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2013%20Apr%202021%2007:39:43%20GMT	https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/styles.e44c141415.js	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic-sea.mihoyo.com/ys/event/e20210128warmup/styles.e44c141415.js	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:56	2131148/2131148	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2013%20Apr%202021%2007:39:43%20GMT	https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/vendors.7660fe3542.js	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic-sea.mihoyo.com/ys/event/e20210128warmup/vendors.7660fe3542.js	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:56	420279/420279	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2013%20Apr%202021%2007:39:37%20GMT	https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.0b9744fbd2.js	C:/Users/jlaur/Downloads/Genshin%20Live%20Wallpaper/Genshin%20Live%20Wallpaper/webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.0b9744fbd2.js	(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
16:17:57	1162/1162	---M-Z	200	added ('OK')	text/plain	etag:%22df5-5b376b7b29440-gzip%22	https://www.w3.org/robots.txt		(from https://webstatic-sea.mihoyo.com/ys/event/e20210128warmup/index.html)
